Game, Date, PlayerID, GroupID, Time, Puzzle, Win, NumClicks, RegTime, DisplayTime, HintOn, NumHints, HintTime, Var1, Var2, Var3
32905,2026-03-26 13:48:19,HAL,DOEFJ26202,30.3993,House of Tangrams,1,19,0,1,1,3,1.71802,,,
32904,2026-03-26 13:47:20,Diego,DOEFJ26202,231.829,House of Tangrams,1,119,0,1,1,0,0,,,
32903,2026-03-26 13:46:45,max,DOEFJ26202,43.212,House of Tangrams,1,43,0,1,1,0,0,,,
32902,2026-03-26 13:45:53,FedericoZer,DOEFJ26202,147.249,House of Tangrams,1,90,0,1,1,0,0,,,
32901,2026-03-26 13:45:46,max,DOEFJ26202,238.981,Candle,1,155,0,1,1,0,0,,,
32900,2026-03-26 13:45:43,LuisR,DOEFJ26202,24.4458,House of Tangrams,1,20,0,1,1,0,0,Si,,
32899,2026-03-26 13:45:14,AlexanderE,DOEFJ26202,90.2149,House of Tangrams,1,66,0,1,1,0,0,,,
32898,2026-03-26 13:44:53,RODOLFOPONT,DOEFJ26202,42.7676,House of Tangrams,1,26,0,1,1,0,0,,,
32897,2026-03-26 13:44:51,Kiara,DOEFJ26202,74.2603,House of Tangrams,1,53,0,1,1,0,0,,,
32896,2026-03-26 13:44:28,Walsh,DOEFJ26202,52.1218,House of Tangrams,1,33,0,1,0,0,0,,,
32895,2026-03-26 13:44:18,LuisMorales,DOEFJ26202,45.2861,House of Tangrams,1,41,0,1,1,0,0,,,
32894,2026-03-26 13:44:14,Alejandro,DOEFJ26202,42.1036,House of Tangrams,1,37,0,1,1,0,0,,,
32893,2026-03-26 13:44:14,JehuLara,DOEFJ26202,39.2208,House of Tangrams,1,33,0,1,1,0,0,,,
32892,2026-03-26 13:43:56,LuisR,DOEFJ26202,30.6999,House of Tangrams,1,18,0,1,1,0,0,Si,,
32891,2026-03-26 13:41:37,ElsaFuster,DOEFJ26202,45.5961,Crouching Cat,1,33,0,1,1,0,0,,,
32890,2026-03-26 13:41:27,LuisMorales,DOEFJ26202,101.401,Diamond,1,80,0,1,1,0,0,,,
32889,2026-03-26 13:41:26,Diego,DOEFJ26202,79.6686,Piano,1,39,0,1,1,0,0,,,
32888,2026-03-26 13:41:02,Walsh,DOEFJ26202,128.046,Piano,1,76,0,1,1,5,40.953,,,
32887,2026-03-26 13:40:42,ElsaFuster,DOEFJ26202,418.393,Crouching Cat,1,218,0,1,1,0,0,,,
32886,2026-03-26 13:40:39,HAL,DOEFJ26202,64.8329,Simple Chair,1,35,0,1,1,4,27.96,,,
32885,2026-03-26 13:40:35,Kiara,DOEFJ26202,256.072,Crouching Cat,1,173,0,1,1,0,0,,,
32884,2026-03-26 13:40:15,JehuLara,DOEFJ26202,62.2632,Diamond,1,36,0,1,1,0,0,,,
32883,2026-03-26 13:40:13,FedericoZer,DOEFJ26202,135.449,Simple Chair,1,106,0,1,1,5,31.2205,,,
32882,2026-03-26 13:39:48,Diego,DOEFJ26202,91.4934,Diamond,1,52,0,1,1,0,0,,,
32881,2026-03-26 13:39:30,HAL,DOEFJ26202,89.1828,Laughing Man,1,50,0,1,1,6,35.755,,,
32880,2026-03-26 13:39:08,LuisR,DOEFJ26202,51.6315,A Nice Lighthouse,1,24,0,1,1,0,0,Si,,
32879,2026-03-26 13:38:55,JehuLara,DOEFJ26202,132.354,The G,1,79,0,1,1,0,0,,,
32878,2026-03-26 13:38:43,Walsh,DOEFJ26202,75.3211,A Nice Lighthouse,1,54,0,1,1,1,54.953,,,
32877,2026-03-26 13:37:53,HAL,DOEFJ26202,89.3198,Crouching Cat,1,54,0,1,1,3,51.142,,,
32876,2026-03-26 13:37:49,FedericoZer,DOEFJ26202,78.5303,Piano,1,56,0,1,1,1,29.2787,,,
32875,2026-03-26 13:37:40,LuisR,DOEFJ26202,203.682,House of Tangrams,1,102,0,1,1,0,0,H,,
32874,2026-03-26 13:37:29,Diego,DOEFJ26202,199.016,House of Tangrams,1,77,0,1,1,0,0,,,
32873,2026-03-26 13:37:07,RODOLFOPONT,DOEFJ26202,213.988,House of Tangrams,1,98,0,1,1,0,0,,,
32872,2026-03-26 13:37:00,Walsh,DOEFJ26202,130.081,Diamond,1,79,0,1,1,4,76.32,,,
32871,2026-03-26 13:37:00,LuisMorales,DOEFJ26202,199.877,Candle,1,132,0,1,1,6,153.479,,,
32870,2026-03-26 13:36:30,FedericoZer,DOEFJ26202,121.281,The G,1,33,0,1,1,2,73.5536,,,
32869,2026-03-26 13:36:22,JehuLara,DOEFJ26202,157.208,Piano,1,90,0,1,1,1,110.872,,,
32868,2026-03-26 13:36:18,HAL,DOEFJ26202,33.0663,Diamond,1,24,0,1,1,0,0,,,
32867,2026-03-26 13:36:09,AlexanderE,DOEFJ26202,188.522,A Nice Lighthouse,1,107,0,1,1,0,0,,,
32866,2026-03-26 13:35:49,Kiara,DOEFJ26202,129.84,Diamond,1,71,0,1,1,0,0,,,
32865,2026-03-26 13:35:37,HAL,DOEFJ26202,89.0657,A Nice Lighthouse,1,50,0,1,1,2,51.746,,,
32864,2026-03-26 13:34:40,Walsh,DOEFJ26202,53.2528,Candle,1,32,0,1,1,0,0,,,
32863,2026-03-26 13:33:58,HAL,DOEFJ26202,21.7841,Candle,1,14,0,1,1,0,0,,,
